day_of_week_num,day_of_week_name,infraction_hour,tickets
0,Sunday,0,362149
0,Sunday,1,240971
0,Sunday,2,249760
0,Sunday,3,220794
0,Sunday,4,160433
0,Sunday,5,44013
0,Sunday,6,34389
0,Sunday,7,55840
0,Sunday,8,87124
0,Sunday,9,135444
0,Sunday,10,105207
0,Sunday,11,124704
0,Sunday,12,142486
0,Sunday,13,194175
0,Sunday,14,80170
0,Sunday,15,186882
0,Sunday,16,234719
0,Sunday,17,204953
0,Sunday,18,160269
0,Sunday,19,189839
0,Sunday,20,196148
0,Sunday,21,97802
0,Sunday,22,56686
0,Sunday,23,52031
0,Sunday,24,38
0,Sunday,25,1
0,Sunday,27,1
0,Sunday,34,1
1,Monday,0,173068
1,Monday,1,140690
1,Monday,2,181021
1,Monday,3,193982
1,Monday,4,131938
1,Monday,5,30875
1,Monday,6,48393
1,Monday,7,130203
1,Monday,8,213887
1,Monday,9,328599
1,Monday,10,290842
1,Monday,11,380207
1,Monday,12,395910
1,Monday,13,364450
1,Monday,14,278503
1,Monday,15,294551
1,Monday,16,291916
1,Monday,17,191275
1,Monday,18,161731
1,Monday,19,190254
1,Monday,20,191654
1,Monday,21,98585
1,Monday,22,53913
1,Monday,23,45195
1,Monday,24,18
1,Monday,26,1
1,Monday,27,2
1,Monday,28,1
1,Monday,29,2
1,Monday,34,1
2,Tuesday,0,168820
2,Tuesday,1,142772
2,Tuesday,2,184203
2,Tuesday,3,204350
2,Tuesday,4,148431
2,Tuesday,5,37547
2,Tuesday,6,52800
2,Tuesday,7,134877
2,Tuesday,8,238426
2,Tuesday,9,380443
2,Tuesday,10,341023
2,Tuesday,11,447566
2,Tuesday,12,468230
2,Tuesday,13,428213
2,Tuesday,14,328546
2,Tuesday,15,330450
2,Tuesday,16,322308
2,Tuesday,17,215568
2,Tuesday,18,184099
2,Tuesday,19,223312
2,Tuesday,20,227549
2,Tuesday,21,113639
2,Tuesday,22,62679
2,Tuesday,23,54394
2,Tuesday,24,15
2,Tuesday,25,3
2,Tuesday,26,1
2,Tuesday,27,3
2,Tuesday,28,2
2,Tuesday,31,2
2,Tuesday,35,1
3,Wednesday,0,179028
3,Wednesday,1,146354
3,Wednesday,2,188268
3,Wednesday,3,209823
3,Wednesday,4,149262
3,Wednesday,5,35750
3,Wednesday,6,51505
3,Wednesday,7,133929
3,Wednesday,8,240416
3,Wednesday,9,380105
3,Wednesday,10,338298
3,Wednesday,11,438745
3,Wednesday,12,463074
3,Wednesday,13,427618
3,Wednesday,14,326646
3,Wednesday,15,325119
3,Wednesday,16,316473
3,Wednesday,17,212291
3,Wednesday,18,183358
3,Wednesday,19,223684
3,Wednesday,20,226392
3,Wednesday,21,109933
3,Wednesday,22,58859
3,Wednesday,23,56758
3,Wednesday,24,22
3,Wednesday,25,3
3,Wednesday,26,1
3,Wednesday,30,2
3,Wednesday,31,2
3,Wednesday,40,1
4,Thursday,0,178883
4,Thursday,1,146002
4,Thursday,2,186329
4,Thursday,3,210242
4,Thursday,4,150636
4,Thursday,5,34726
4,Thursday,6,47295
4,Thursday,7,130268
4,Thursday,8,228410
4,Thursday,9,378610
4,Thursday,10,328851
4,Thursday,11,423740
4,Thursday,12,448200
4,Thursday,13,408926
4,Thursday,14,319577
4,Thursday,15,317030
4,Thursday,16,310700
4,Thursday,17,212955
4,Thursday,18,189851
4,Thursday,19,231936
4,Thursday,20,240623
4,Thursday,21,124061
4,Thursday,22,74481
4,Thursday,23,64636
4,Thursday,24,26
4,Thursday,25,1
4,Thursday,26,2
4,Thursday,27,1
4,Thursday,29,1
4,Thursday,31,1
4,Thursday,32,1
5,Friday,0,206380
5,Friday,1,156266
5,Friday,2,194064
5,Friday,3,211679
5,Friday,4,153169
5,Friday,5,36509
5,Friday,6,45262
5,Friday,7,139095
5,Friday,8,246053
5,Friday,9,373507
5,Friday,10,320950
5,Friday,11,407128
5,Friday,12,430209
5,Friday,13,399415
5,Friday,14,297723
5,Friday,15,305859
5,Friday,16,293152
5,Friday,17,213020
5,Friday,18,177773
5,Friday,19,213769
5,Friday,20,236237
5,Friday,21,143179
5,Friday,22,98689
5,Friday,23,96608
5,Friday,24,11
5,Friday,25,1
5,Friday,26,1
5,Friday,32,1
6,Saturday,0,329952
6,Saturday,1,216829
6,Saturday,2,246663
6,Saturday,3,223711
6,Saturday,4,163761
6,Saturday,5,45544
6,Saturday,6,54189
6,Saturday,7,96736
6,Saturday,8,235280
6,Saturday,9,265446
6,Saturday,10,230435
6,Saturday,11,250930
6,Saturday,12,248554
6,Saturday,13,208914
6,Saturday,14,126250
6,Saturday,15,213802
6,Saturday,16,245092
6,Saturday,17,226179
6,Saturday,18,171074
6,Saturday,19,209649
6,Saturday,20,241704
6,Saturday,21,153815
6,Saturday,22,105948
6,Saturday,23,107913
6,Saturday,24,28
6,Saturday,32,1
