location_display,location1,ticket_count
NAN at 2075 BAYVIEW AVE,NAN,82432
NR at 20 EDWARD ST,NR,50788
AT at 1750 FINCH AVE E,AT,42216
NAN at 4700 KEELE ST,NAN,41369
NAN at 2075 BAYVIEW AV,NAN,38297
NR at 15 MARINE PARADE DR,NR,26936
NR at 40 ORCHARD VIEW BLVD,NR,26774
E/S at JAMES ST,E/S,26594
AT at 1265 MILITARY TRL,AT,22992
NR at 25 ST MARY ST,NR,22697
AT at 103 THE QUEENSWAY,AT,22290
NAN at 3401 DUFFERIN ST,NAN,21987
NR at 110 ELM ST,NR,21572
R/O at 60 BLOOR ST W,R/O,21185
OPP at 20 EDWARD ST,OPP,21028
NR at 200 KING ST E,NR,20656
NR at 225 KING ST W,NR,19855
AT at 25 THE WEST MALL,AT,19406
W/S at LA PLANTE AVE,W/S,19121
AT at 1000 FINCH AVE W,AT,19007
AT at 1 BRIMLEY RD S,AT,18468
OPP at 150 GERRARD ST W,OPP,18123
NR at 24 BELLAIR ST,NR,18085
NR at 80 FRONT ST E,NR,17885
NAN at 941 PROGRESS AVE,NAN,17808
NAN at 205 HUMBER COLLEGE BLVD,NAN,17195
NAN at 700 LAWRENCE AVE W,NAN,16311
NR at 273 BLOOR ST W,NR,16243
OPP at 200 ELIZABETH ST,OPP,16165
NR at 25 LEONARD AVE,NR,16138
NR at 39 SUNNYSIDE AVE,NR,16033
OPP at 30 BOND ST,OPP,15834
NR at 15 BREADALBANE ST,NR,15693
NR at 100 KING ST W,NR,15590
NR at 244 VICTORIA ST,NR,15514
N/S at ALBERT ST,N/S,15457
NR at 100 MAITLAND ST,NR,15302
NR at 201 ELIZABETH ST,NR,15247
NAN at 4001 LESLIE ST,NAN,15207
W/S at JAMES ST,W/S,14792
NR at 55 MAITLAND ST,NR,14577
OPP at 74 VICTORIA ST,OPP,14459
NR at 66 WELLINGTON ST W,NR,14316
NR at 160 MUTUAL ST,NR,14316
NR at 33 ORCHARD VIEW BLVD,NR,14244
AT at 155 LEGION RD N,AT,14094
NR at 92 YORKVILLE AVE,NR,14087
NR at 15 DEVONSHIRE PL,NR,13980
NR at 393 UNIVERSITY AVE,NR,13960
OPP at 33 ELMHURST AVE,OPP,13921
NR at 2401 YONGE ST,NR,13788
OPP at 10 PARKDALE RD,OPP,13766
OPP at 50 CUMBERLAND ST,OPP,13503
NR at 15 ASQUITH AVE,NR,13484
AT at 700 HUMBERWOOD BLVD,AT,13467
NR at 111 ELIZABETH ST,NR,13173
AT at 250 FRONT ST E,AT,13169
NR at 101 ELM ST,NR,12950
N/S at EDWARD ST,N/S,12884
NR at 1 DUPLEX AVE,NR,12815
NR at 112 ELIZABETH ST,NR,12756
N/S at WELLINGTON ST W,N/S,12746
NR at 70 YORK ST,NR,12648
NR at 20 EGLINTON AVE W,NR,12564
NR at 38 ELM ST,NR,12552
NR at 30 ADELAIDE ST E,NR,12537
NR at 18 ORDE ST,NR,12480
NR at 60 GROSVENOR ST,NR,12418
NR at 5140 YONGE ST,NR,12367
NR at 60 MURRAY ST,NR,12324
NR at 6 ELLERBECK ST,NR,12181
NR at 18 BEVERLEY ST,NR,12179
AT at 4001 LESLIE ST,AT,12155
NR at 137 EDWARD ST,NR,12008
AT at 1675 LAKE SHORE BLVD E,AT,11852
AT at 2 COOPER ST,AT,11778
NR at 375 UNIVERSITY AVE,NR,11765
NR at 56 THE ESPLANADE,NR,11755
NR at 18 GRENVILLE ST,NR,11725
NR at 30 GRAND TRUNK CRES,NR,11725
OPP at 38 JOE SHUSTER WAY,OPP,11700
NR at 199 RICHMOND ST W,NR,11678
NR at 70 MILL ST,NR,11640
AT at 390 QUEENS QUAY W,AT,11576
NR at 20 STEWART ST,NR,11439
NAN at 1155 KING ST W,NAN,11399
NR at 45 DUNFIELD AVE,NR,11295
NR at 150 YORK ST,NR,11266
AT at 125 VILLAGE GREEN SQ,AT,11262
NAN at 15 TOBERMORY DR,NAN,11228
NR at 361 UNIVERSITY AVE,NR,11167
NR at 30 CHARLES ST E,NR,11157
NAN at 31A PARLIAMENT ST,NAN,11155
NR at 2300 YONGE ST,NR,11024
NR at 42 CHARLES ST E,NR,11013
AT at 1873 BLOOR ST W,AT,10992
NR at 2 JAMES ST,NR,10984
NR at 123 MUTUAL ST,NR,10955
NR at 55 TOWN CENTRE CRT,NR,10893
S/S at MORTIMER AVE,S/S,10881
