year,month,year_month,ticket_count,total_fines_cad,avg_fine_cad,morning_ticket_count,afternoon_ticket_count,evening_ticket_count,night_ticket_count,weekend_ticket_count
2008,1,2008-01,239153,8266735.00,34.57,61031,89617,33798,54707,57842
2008,2,2008-02,209175,7330300.00,35.04,49015,79036,33017,48107,53535
2008,3,2008-03,233518,8932045.00,38.25,55848,86623,37037,54010,64337
2008,4,2008-04,262531,10130870.00,38.59,66043,100591,41373,54524,61025
2008,5,2008-05,261636,10068485.00,38.48,65175,97649,42660,56152,67202
2008,6,2008-06,250564,9621415.00,38.4,61323,92914,39769,56558,62166
2008,7,2008-07,239036,9356265.00,39.14,61257,86549,38709,52521,52417
2008,8,2008-08,233090,9433430.00,40.47,54454,85917,36749,55970,65307
2008,9,2008-09,240751,9635300.00,40.02,61958,90142,37935,50716,54976
2008,10,2008-10,253160,10273850.00,40.58,66473,94522,40173,51992,55271
2008,11,2008-11,235420,9555955.00,40.59,62182,87190,38315,47733,67634
2008,12,2008-12,204741,8624125.00,42.12,51064,75953,29898,47826,44092
2009,1,2009-01,170862,7174075.00,41.99,42357,64553,25527,38425,43890
2009,2,2009-02,92101,3826005.00,41.54,23358,35722,14906,18115,21854
2009,3,2009-03,268743,10980275.00,40.86,63586,100952,43749,60456,69436
2009,4,2009-04,241657,10006635.00,41.41,62286,88373,39827,51171,57882
2009,5,2009-05,245505,10083555.00,41.07,61724,90946,40976,51859,69658
2009,6,2009-06,239740,9701175.00,40.47,60420,86079,39189,54052,53474
2009,7,2009-07,215658,8669600.00,40.2,52958,78418,34735,49547,48210
2009,8,2009-08,215686,8742840.00,40.54,51278,76636,35194,52578,63831
2009,9,2009-09,229028,9219000.00,40.25,57121,83870,38150,49887,53277
2009,10,2009-10,231169,9312205.00,40.28,57328,85514,37998,50329,59269
2009,11,2009-11,221958,8939940.00,40.28,54114,84231,37597,46016,58096
2009,12,2009-12,210275,8683830.00,41.3,48513,79652,31470,50640,49550
2010,1,2010-01,226963,9183255.00,40.46,52987,81731,39870,52375,65369
2010,2,2010-02,210030,8492365.00,40.43,50479,79321,37509,42721,54635
2010,3,2010-03,261877,10411450.00,39.76,64281,99042,44916,53638,60705
2010,4,2010-04,236548,9551760.00,40.38,61511,86857,41178,47002,54877
2010,5,2010-05,206767,8456980.00,40.9,48485,73402,38107,46773,66098
2010,6,2010-06,223608,8960845.00,40.07,56768,81354,37811,47675,47996
2010,7,2010-07,222697,8990195.00,40.37,52175,78293,41040,51189,62571
2010,8,2010-08,228402,9176665.00,40.18,55577,80294,41029,51502,59840
